"Scenario","Mean_Effect"
"Mean best practice",0.0301209561916251
"Laboratory experiment",0.0723524721868782
"Field experiment",0.0200021177056337
"Positive framing",0.0266971288884429
"Negative (loss) framing",0.065315433245056
"Laboratory + loss framing",0.107546949240309
